Rank	Title	Type	ISSN	SJR Quartile	SJR	H index	Total Docs. (2010)	Total Docs. (3years)	Total Refs.	Total Cites (3years)	Citable Docs. (3years)	Cites / Doc. (2years)	Ref. / Doc.	Country
49	Journal of Software	j	ISSN 1796217X	Q3	0.263	18	182	262	3549	182	256	0.69	19.5	Finland
50	Journal of Organizational and End User Computing	j	ISSN 15462234	Q3	0.255	24	18	51	997	35	46	0.6	55.39	United States
51	Electronic Commerce Research	j	ISSN 13895753	Q3	0.244	19	20	47	744	75	45	1.9	37.2	Netherlands
52	Journal of Information Science and Engineering	j	ISSN 10162364	Q3	0.24	26	145	358	3010	199	350	0.64	20.76	Taiwan
53	Interaction Studies	j	ISSN 15720381	Q4	0.228	24	40	77	1034	76	68	0.73	25.85	Netherlands
54	CrossTalk	j	ISSN 21601593	Q4	0.213	10	50	264	328	37	198	0.19	6.56	United States
55	Journal of Internet Banking and Commerce	j	ISSN 12045357	Q4	0.206	9	55	40	1376	16	34	0.47	25.02	Canada
56	International Journal of Cognitive Informatics and Natural Intelligence	j	ISSN 15573966	Q4	0.193	9	28	27	584	13	23	0.57	20.86	United States
57	Journal of Information Systems	j	ISSN 08887985	Q4	0.191	14	10	11	842	12	9	1.33	84.2	United States
58	Human IT	j	ISSN 14021501	Q4	0.184	6	4	24	109	7	21	0.5	27.25	Sweden
59	Entertainment Computing	j	ISSN 18759521	Q4	0.175	9	1	16	21	13	15	0.87	21	Netherlands
60	Journal of Advanced Computational Intelligence and Intelligent Informatics	j	ISSN 18838014	Q4	0.174	11	104	76	1777	55	72	0.76	17.09	Japan
61	Digital Creativity	j	ISSN 17443806	Q4	0.162	10	26	69	685	21	63	0.28	26.35	United Kingdom
62	International Journal of Technology and Human Interaction	j	ISSN 15483916	Q4	0.146	5	19	59	788	24	54	0.45	41.47	United States
63	International Journal of Speech Technology	j	ISSN 15728110	Q4	0.139	16	16	53	614	16	51	0.21	38.38	Netherlands
64	Journal on Multimodal User Interfaces	j	ISSN 17838738	Q4	0.134	12	28	12	922	3	12	0.25	32.93	Germany
65	Fujitsu Scientific and Technical Journal	j	ISSN 00162523	Q4	0.133	15	62	187	346	58	174	0.37	5.58	Japan
66	International Journal of Computer Games Technology	j	ISSN 16877055	Q4	0.133	11	8	32	219	28	29	0.97	27.38	United States
67	Australasian Journal of Information Systems	j	ISSN 10397841	Q4	0.123	6	17	31	558	7	28	0.29	32.82	Australia
68	Moscow University Computational Mathematics and Cybernetics	j	ISSN 02786419	Q4	0.116	3	29	91	216	3	91	0.05	7.45	United States
69	International Journal of Imaging and Robotics	j	ISSN 2231525X	Q4	0.115	7	16	14	325	6	12	0.5	20.31	India
